,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1239323007685996546,emergency medicine doctors one new jersey washington state critical condition,emergency medicine doctors jersey washington state condition
1,1,1239320491640401920,tonight democratic debate joe biden bernie sanders auditioning presidency trying conv,debate joe biden bernie sanders presidency conv
2,2,1239315454809837572,puerto rico sunday imposed overnight curfew ordered businesses shut march one,puerto rico sunday curfew businesses
3,3,1239312733096509440,rt march going go big moment fed history,rt march moment history
4,4,1239310480197529600,heretofore known luminous frontwoman blues rock band alabama shakes brittany howard lionize,frontwoman blues band alabama howard lionize
5,5,1239306668305002499,rt covid bearing warnings inequality major threat public health everyone makes epidemics sp,rt covid bearing warnings inequality threat health everyone epidemics sp
6,6,1239305406935109639,department veterans affairs legally designated backup health system preparing,department veterans affairs backup health system
7,7,1239302377267703808,rt public schools long island westchester also close next days far wide,schools westchester days
8,8,1239301626038554624,rt got little free indoor time weekend bust needle thread maybe,rt indoor time weekend bust thread
9,9,1239300139577196547,breaking news public schools new york city long island westchester shut gov andrew cuomo,news public schools city westchester shut gov cuomo
10,10,1239296575211528193,rt new asked progressive leaders looking see bernie sanders tonight co gjjzowftep,leaders sanders co gjjzowftep
11,11,1239296480923602945,breaking news federal reserve slashed interest rates near zero said would buy government debt,news reserve interest rates zero government debt
12,12,1239295327104090112,treasury secretary steven mnuchin said would ask congress reinstate powers scaled back,treasury secretary steven mnuchin congress reinstate powers
13,13,1239291542445215747,rt new york officials discussing moving state april presidential primary june per amp,york officials state primary june amp
14,14,1239290277296300035,hold democratic debate age social distancing candidates lecterns tonight debate,debate age distancing candidates debate
15,15,1239287803567095814,coronavirus continues spread throughout people jobs put physical contact,coronavirus people jobs contact
16,16,1239285262724759555,coronavirus spreading also infecting societies sense insecurity fear fragmentat,coronavirus societies insecurity fear fragmentat
17,17,1239281523414773760,rt many markets already closed one say sure santa monica stay open quick report,markets say santa monica stay report
18,18,1239281507866488834,rt busy busier vendors expected today gustavo jimenez almost lamb sausage peads,rt vendors today jimenez sausage peads
19,19,1239281493823938567,rt vendors cautious wearing gloves setting samples prepared foods lots extra big cabbage eggs,rt vendors gloves samples foods lots cabbage eggs
20,20,1239280271658270720,time ni gusti ayu raka rasmi died known one greatest balinese teachers perfor,time gusti ayu raka rasmi teachers
21,21,1239277699857866752,rt longer question borders states individuals said ivan krastev indivi,rt question borders states individuals ivan krastev indivi
22,22,1239277443556442114,elections officials new york considering plans postpone state presidential primary april,elections officials york plans state primary april
23,23,1239276447774265344,prosecutors said philip righter forged documents fake paintings used collateral loans pleaded gui,prosecutors philip righter documents paintings loans gui
24,24,1239275381183721473,gov andrew cuomo called closing new york city public schools curb coronavirus ch,gov cuomo york city schools curb coronavirus ch
25,25,1239275185016012806,georgia louisiana delayed primary elections wyoming suspended person democratic caucus,georgia elections person caucus
26,26,1239273934874427394,rt need know mind sets moviegoers ticket sales fell inflation adjusted time low,rt sets moviegoers sales inflation time
27,27,1239272597117980672,latest coronavirus outbreak reported staggering deaths one day toll,coronavirus outbreak deaths day toll
28,28,1239270151058608128,know lot serious scary important distressing things happening world,lot things world
29,29,1239268900606488576,rt aisles aisles empty store shelves give appearance united states improbably alarmingly runni,rt aisles store shelves appearance states
30,30,1239267637064011782,comforting pan potatoes gooey cheese,pan potatoes
31,31,1239266145468928000,numerous appellate court appointments president trump reshaped federal judiciary shif,court appointments president trump judiciary shif
32,32,1239265141650227200,asked sondheim admirers including barbra streisand james corden reflect songs,admirers barbra streisand james songs
33,33,1239262611893616650,social distancing people avoiding gyms ways stay fit home instead,distancing people ways home
34,34,1239260097634861059,running food nation biggest retailers say food supply chain remains intact,food nation retailers food supply chain
35,35,1239257600258170881,authorities said colten treu high inhalant drove troop girl scouts parents,authorities inhalant troop girl parents
36,36,1239255058770001920,girl summer megan thee stallion center hold sleater kinney explores son,girl summer megan stallion center sleater kinney son
37,37,1239250042143342593,sondheim theater greatest songwriter also one greatest playwrights explains co rmgu fpuah,sondheim theater songwriter playwrights rmgu fpuah
38,38,1239247500353179649,interviews country last week americans questioned government handling corona,interviews country week americans government corona
39,39,1239244981275148289,since attacks sept crisis enveloped much economy quickly coro,attacks crisis economy
40,40,1239242475899965441,much scared nina haug said really confused clear answers especially beyond th,haug answers th
41,41,1239239947640623104,democratic debate joe biden bernie sanders tonight information watch home,debate joe biden bernie sanders information watch home
42,42,1239237450754592768,control coronavirus outbreak americans prepared dr anthony fauci top,control coronavirus americans fauci top
43,43,1239236177187745792,rt took look jobs put risk coronavirus exposure riskiest jobs low paying,rt look jobs risk coronavirus exposure jobs
44,44,1239234930162438144,king princess gleefully claiming cultural patch ground mostly reserved male artists writes lizzy,princess patch ground male artists
45,45,1239229902538313729,census begins officials scrambling protect census takers citizens coronavirus,census officials census takers citizens
46,46,1239224851472277504,decades sports constant part background noise american culture maybe unhealthy obse,decades sports part background noise culture obse
47,47,1239223595412402180,rt pressure mounting sweeping shutdown new york city including closing schools bars restaurants,pressure york city closing schools restaurants
48,48,1239222348575911937,flexible stew go number directions tweak see fit,stew number directions
49,49,1239221087210287107,rt new op ed slow spread disease rate state health care systems handl,ed spread disease rate state health care systems handl
50,50,1239219833503387648,public private schools nassau county long island closed starting monday,schools county island monday
51,51,1239218567389773826,rt year old man left costa luminosa ship two weeks ago cardiac arrest died coronavirus ca,year man ship weeks arrest coronavirus
52,52,1239214790012211201,age age say parents one education policy researcher explained,age age parents education policy researcher
53,53,1239209746575605762,though physically close connected coronavirus outbreak forced cancellations,coronavirus outbreak cancellations
54,54,1239208513504784392,correction earlier version article included inaccurate description france coronavirus patients,correction version article description france coronavirus patients
55,55,1239207243859582978,washing hands one important things protect others illness,hands things others
56,56,1239204752262664198,though law saudi arabia changed grant women new freedoms problem become persuading,law saudi women freedoms problem
57,57,1239200952491692033,bernie sanders joe biden share personal relationship remained sturdy amicable functional aides,bernie sanders share relationship aides
58,58,1239198444620845056,nfl players approved year labor deal adds th regular season game first big expansion,players year labor deal season game expansion
59,59,1239197198081982466,president trump inflated concept google site would help people evaluate symptoms direct,president trump google site people symptoms
60,60,1239194653443981315,gray area cancer patients hospitals coronavirus hot spots like seattle new york postponin,area cancer patients hospitals spots york postponin
62,62,1239189644295749634,new york bars restaurants still attracting crowds alarming elected officials called,york bars restaurants crowds officials
63,63,1239184586074206208,monthly payments federal student loans going go instead department education says,payments student loans department education
64,64,1239182334991179777,opinion country affected crisis handled national basis writes new york gov andrew,opinion country crisis basis york gov
65,65,1239179569749516289,lot queer people lot people told buck swallow feelings behave said writer pau,lot queer people people feelings writer pau
